name,townName,longitude,latitude,season,borrowed_quantity,classification_type
上楓分館,大雅區,120.676,24.242,秋,17,幼兒照顧
中區分館,中區,120.7,24.147,秋,10,理財
北區分館,北區,120.704,24.162,秋,45,幼兒照顧
北屯分館,北屯區,120.717,24.177,秋,42,幼兒照顧
南區分館,南區,120.688,24.126,秋,31,幼兒照顧
南屯分館,南屯區,120.656,24.154,秋,49,幼兒照顧
后里分館,后里區,120.742,24.311,秋,20,理財
和平區圖書館,和平區,120.83,24.181,秋,4,幼兒照顧
國立公共資訊圖書館,南區,120.671,24.127,秋,24,理財
國立公共資訊圖書館黎明分館,南屯區,120.632,24.153,秋,19,理財
外埔分館,外埔區,120.672,24.336,秋,17,養生
大墩分館,西區,120.679,24.143,秋,41,理財
大安分館,大安區,120.603,24.351,秋,13,養生
大甲分館,大甲區,120.636,24.356,秋,43,旅遊
大肚分館,大肚區,120.553,24.157,秋,9,養生
大肚瑞井分館,大肚區,120.587,24.162,秋,12,養生
大里分館,大里區,120.711,24.092,秋,46,旅遊
大里大新分館,大里區,120.704,24.103,秋,21,幼兒照顧
大里德芳分館,大里區,120.703,24.11,秋,24,幼兒照顧
大雅分館,大雅區,120.666,24.224,秋,25,幼兒照顧
太平分館,太平區,120.736,24.124,秋,56,理財
太平坪林分館,太平區,120.747,24.148,秋,42,幼兒照顧
捷運松竹借還書站,北屯區,120.731,24.186,秋,21,旅遊
新社分館,新社區,120.81,24.245,秋,14,養生
李科永紀念圖書館,南屯區,120.638,24.154,秋,19,理財
東勢分館,東勢區,120.82,24.263,秋,30,幼兒照顧
東區分館,東區,120.704,24.135,秋,28,理財
梧棲分館,梧棲區,120.55,24.258,秋,10,旅遊
梧棲親子館,梧棲區,120.55,24.256,秋,27,幼兒照顧
沙鹿文昌分館,沙鹿區,120.59,24.239,秋,15,旅遊
沙鹿深波分館,沙鹿區,120.578,24.238,秋,27,旅遊
清水分館,清水區,120.574,24.27,秋,9,旅遊
清水紫雲巖圖書館,清水區,120.604,24.275,秋,23,旅遊
溪西分館,西屯區,120.639,24.177,秋,35,幼兒照顧
潭子分館,潭子區,120.714,24.218,秋,44,幼兒照顧
烏日分館,烏日區,120.651,24.114,秋,41,旅遊
石岡分館,石岡區,120.783,24.275,秋,11,養生
神岡分館,神岡區,120.682,24.268,秋,30,幼兒照顧
精武圖書館,北區,120.709,24.15,秋,25,幼兒照顧
總館,北屯區,120.704,24.2,秋,30,理財
興安分館,北屯區,120.71,24.174,秋,67,理財
葫蘆墩分館,豐原區,120.762,24.256,秋,15,理財
西區分館,西區,120.671,24.154,秋,23,理財
西屯分館,西屯區,120.668,24.178,秋,62,幼兒照顧
豐原分館,豐原區,120.743,24.247,秋,16,幼兒照顧
豐原南嵩分館,豐原區,120.76,24.259,秋,41,幼兒照顧
霧峰以文分館,霧峰區,120.724,24.066,秋,29,幼兒照顧
龍井分館(工程中),龍井區,120.562,24.197,秋,10,理財
龍井山頂分館,龍井區,120.59,24.186,秋,8,理財
龍井龍津分館,龍井區,120.537,24.204,秋,13,理財
